date,cantidad_entregas,is_holiday,holiday_name,weekday,tipo_feriado
2021-06-05,2129,false,,6,-1
2021-06-06,886,false,,7,-1
2021-06-07,4125,false,,1,0
2021-06-08,4164,false,,2,0
2021-06-09,4515,false,,3,0
2021-06-10,4088,false,,4,0
2021-06-11,3806,false,,5,0
2021-06-12,1775,false,,6,-1
2021-06-13,832,false,,7,-1
2021-06-14,4312,false,,1,0
2021-06-15,4948,false,,2,0
2021-06-16,4910,false,,3,0
2021-06-17,5032,true,Commemoration of General Don Martín Miguel de Güemes,4,1
2021-06-18,4443,false,,5,0
2021-06-19,1616,false,,6,-1
2021-06-20,593,true,Flag Day,7,1
2021-06-21,1364,true,Day off for the Commemoration of General Don Martín Miguel de Güemes,1,2
2021-06-22,3619,false,,2,0
2021-06-23,3395,false,,3,0
2021-06-24,3532,false,,4,0
2021-06-25,3487,false,,5,0
2021-06-26,1612,false,,6,-1
2021-06-27,639,false,,7,-1
2021-06-28,3452,false,,1,0
2021-06-29,3530,false,,2,0
2021-06-30,3511,false,,3,0
2021-07-01,3905,false,,4,0
2021-07-02,3552,false,,5,0
2021-07-03,1470,false,,6,-1
2021-07-04,751,false,,7,-1
2021-07-05,3724,false,,1,0
2021-07-06,4424,false,,2,0
2021-07-07,4449,false,,3,0
2021-07-08,4586,false,,4,0
2021-07-09,1699,true,Independence day,5,1
2021-07-10,1698,false,,6,-1
2021-07-11,582,false,,7,-1
2021-07-12,4625,false,,1,0
2021-07-13,4644,false,,2,0
2021-07-14,4260,false,,3,0
2021-07-15,5058,false,,4,0
2021-07-16,5120,false,,5,0
2021-07-17,1682,false,,6,-1
2021-07-18,672,false,,7,-1
2021-07-19,4838,false,,1,0
2021-07-20,3533,true,Eid al-Adha,2,2
2021-07-21,3662,false,,3,0
2021-07-22,4201,false,,4,0
2021-07-23,4001,false,,5,0
2021-07-24,1481,false,,6,-1
2021-07-25,628,false,,7,-1
2021-07-26,4437,false,,1,0
2021-07-27,4436,false,,2,0
2021-07-28,4349,false,,3,0
2021-07-29,4157,false,,4,0
2021-07-30,4073,false,,5,0
2021-07-31,1524,false,,6,-1
2021-08-01,668,false,,7,-1
2021-08-02,4679,false,,1,0
2021-08-03,4678,false,,2,0
2021-08-04,4437,false,,3,0
2021-08-05,4533,false,,4,0
2021-08-06,4341,false,,5,0
2021-08-07,1652,false,,6,-1
2021-08-08,723,false,,7,-1
2021-08-09,4827,false,,1,0
2021-08-10,4774,true,Muharram/New Year,2,2
2021-08-11,4661,false,,3,0
2021-08-12,4363,false,,4,0
2021-08-13,4459,false,,5,0
2021-08-14,1613,false,,6,-1
2021-08-15,524,false,,7,-1
2021-08-16,1727,true,San Martín Day,1,2
2021-08-17,4479,false,,2,0
2021-08-18,4821,false,,3,0
2021-08-19,4663,false,,4,0
2021-08-20,5330,false,,5,0
2021-08-21,1774,false,,6,-1
2021-08-22,581,false,,7,-1
2021-08-23,4526,false,,1,0
2021-08-24,4605,false,,2,0
2021-08-25,4605,false,,3,0
2021-08-26,4569,false,,4,0
2021-08-27,3978,false,,5,0
2021-08-28,1599,false,,6,-1
2021-08-29,557,false,,7,-1
2021-08-30,4328,false,,1,0
2021-08-31,4255,false,,2,0
2021-09-01,4818,false,,3,0
2021-09-02,4571,false,,4,0
2021-09-03,4362,false,,5,0
2021-09-04,1772,false,,6,-1
2021-09-05,609,false,,7,-1
2021-09-06,4829,true,Rosh Hashana Eve,1,2
2021-09-07,5116,true,Rosh Hashana,2,2
2021-09-08,5195,true,Second Day of Rosh Hashana,3,2
2021-09-09,4839,false,,4,0
2021-09-10,4705,false,,5,0
2021-09-11,1767,false,,6,-1
2021-09-12,608,false,,7,-1
2021-09-13,5069,false,,1,0
2021-09-14,4827,false,,2,0
2021-09-15,4976,true,Yom Kippur Eve,3,2
2021-09-16,4903,true,Yom Kippur,4,2
2021-09-17,4820,false,,5,0
2021-09-18,1824,false,,6,-1
2021-09-19,680,false,,7,-1
2021-09-20,4837,false,,1,0
2021-09-21,4757,false,,2,0
2021-09-22,4946,false,,3,0
2021-09-23,4706,false,,4,0
2021-09-24,4341,false,,5,0
2021-09-25,1691,false,,6,-1
